194.38.20.161 - - "2023-02-05 00:38:26" https://arj.af/index.php/arj/index 200 "ALittle Client"
136.243.220.209 bot - "2023-02-05 06:50:48" https://arj.af/index.php/arj/article/view/13 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:50:52" https://arj.af/index.php/arj/article/view/5 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:51:00" https://arj.af/index.php/arj/article/view/14 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:51:04" https://arj.af/index.php/arj/article/view/38 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:51:09" https://arj.af/index.php/arj/article/view/56 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:51:13" https://arj.af/index.php/arj/article/view/6 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:51:29" https://arj.af/index.php/arj/article/view/25 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:51:33" https://arj.af/index.php/arj/article/view/55 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:51:37" https://arj.af/index.php/arj/article/view/3 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:51:42" https://arj.af/index.php/arj/article/download/14/21/69 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:51:46" https://arj.af/index.php/arj/article/download/3/10/28 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:51:50" https://arj.af/index.php/arj/article/download/40/23/83 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:51:55" https://arj.af/index.php/arj/article/download/30/20/68 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:51:58" https://arj.af/index.php/arj/article/download/10/11/50 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:52:03" https://arj.af/index.php/arj/article/download/38/22/79 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:52:07" https://arj.af/index.php/arj/article/download/6/8/18 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:52:10" https://arj.af/index.php/arj/article/download/25/16/56 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:52:14" https://arj.af/index.php/arj/article/download/42/24/90 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:52:18" https://arj.af/index.php/arj/article/download/9/12/66 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
136.243.220.209 bot - "2023-02-05 06:52:22" https://arj.af/index.php/arj/article/download/59/28/144 200 "Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)"
