54.203.149.126 bot - "2023-10-19 02:58:45" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
34.212.48.110 - - "2023-10-19 02:58:48" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.76 Safari/537.36"
66.249.79.161 bot - "2023-10-19 04:05:35" https://arj.af/index.php/arj/article/download/14/21/69 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.161 bot - "2023-10-19 04:11:47" https://arj.af/index.php/arj/article/download/42/24/90 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
154.86.128.221 bot - "2023-10-19 04:25:17" https://arj.af/index.php/arj/index 200 "Go-http-client/1.1"
34.216.203.186 - - "2023-10-19 06:09:28" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
54.37.76.247 - - "2023-10-19 07:37:20" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
65.19.141.115 - - "2023-10-19 08:49:17" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
47.253.62.238 - - "2023-10-19 09:43:20" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
66.249.79.161 bot - "2023-10-19 10:38:47" https://arj.af/index.php/arj/article/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
47.253.62.238 - - "2023-10-19 11:52:33" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
20.166.123.37 - - "2023-10-19 12:10:39" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
69.63.184.119 bot - "2023-10-19 12:45:05" https://arj.af/index.php/arj/article/view/38 200 "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
67.220.86.160 - - "2023-10-19 13:39:12" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36"
23.88.210.8 - - "2023-10-19 15:34:56" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-M135FU) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36"
23.88.210.8 - - "2023-10-19 15:36:00" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-M135FU) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36"
23.88.210.8 - - "2023-10-19 15:37:20" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-M135FU) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36"
23.88.210.8 - - "2023-10-19 15:37:22" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-M135FU) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36"
23.88.210.8 - - "2023-10-19 15:37:24" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-M135FU) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36"
23.88.210.8 - - "2023-10-19 15:37:26" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-M135FU) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36"
23.88.210.8 - - "2023-10-19 15:37:30" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-M135FU) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36"
23.88.210.8 - - "2023-10-19 15:37:34" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-M135FU) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36"
23.88.210.8 - - "2023-10-19 15:37:37" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-M135FU) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36"
23.88.210.8 - - "2023-10-19 15:37:40" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-M135FU) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36"
23.88.210.8 - - "2023-10-19 15:38:17" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-M135FU) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36"
23.88.210.8 - - "2023-10-19 15:38:24" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-M135FU) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36"
23.88.210.8 - - "2023-10-19 15:38:48" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-M135FU) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36"
