45.80.158.62 bot - "2024-04-22 09:58:55" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
45.80.158.62 bot - "2024-04-22 09:58:56" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
45.80.158.62 bot - "2024-04-22 09:58:57" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
45.80.158.62 bot - "2024-04-22 09:58:58" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
45.80.158.62 bot - "2024-04-22 09:58:58" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
45.80.158.62 bot - "2024-04-22 09:58:59" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
45.80.158.62 bot - "2024-04-22 09:59:00" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
45.80.158.62 bot - "2024-04-22 09:59:01" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
45.80.158.62 bot - "2024-04-22 09:59:02" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
45.80.158.62 bot - "2024-04-22 09:59:02" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
45.80.158.62 bot - "2024-04-22 09:59:03" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
45.80.158.62 bot - "2024-04-22 09:59:04" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
45.80.158.62 bot - "2024-04-22 09:59:05" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
45.80.158.62 bot - "2024-04-22 09:59:06" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
175.176.61.101 - - "2024-04-22 10:00:19" https://arj.af/index.php/arj/article/view/45 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
175.176.61.101 - - "2024-04-22 10:07:10" https://arj.af/index.php/arj/article/view/45 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
110.238.107.76 - - "2024-04-22 10:46:02" https://arj.af/index.php/arj/article/download/10/11/50 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36"
51.83.238.93 - - "2024-04-22 11:49:47" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
51.83.238.93 - - "2024-04-22 11:49:47" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
175.44.42.121 - - "2024-04-22 11:55:37" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
4.223.99.61 bot - "2024-04-22 13:00:50" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:00:51" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:00:52" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:00:53" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:00:54" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:00:54" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:00:55" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:00:56" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:00:56" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:00:57" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:00:58" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:00:59" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:00:59" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:01:00" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:01:01" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:01:02" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:01:02" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:01:03" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:01:04" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:01:05" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:01:05" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:01:06" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:01:07" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:01:08" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:01:09" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:01:09" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:01:10" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.223.99.61 bot - "2024-04-22 13:01:11" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
14.241.111.239 - - "2024-04-22 13:39:39" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
195.181.161.22 - - "2024-04-22 14:25:09" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
124.243.135.236 - - "2024-04-22 14:39:11" https://arj.af/index.php/arj/article/view/30 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.47"
178.254.12.183 - - "2024-04-22 14:44:20" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.54"
81.0.246.128 - - "2024-04-22 14:58:48" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 7.0; SM-G892A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Mobile Safari/537.36"
91.92.244.229 - - "2024-04-22 15:32:03" https://arj.af/index.php/arj/index 200 "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
139.18.242.215 - - "2024-04-22 15:35:02" https://arj.af/index.php/arj/index 200 "metha/0.3.2"
149.28.182.71 - - "2024-04-22 15:52:16" https://arj.af/index.php/arj/index 200 "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
66.249.77.198 bot - "2024-04-22 16:13:55" https://arj.af/index.php/arj/article/download/3/10/28 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.77.198 bot - "2024-04-22 16:15:53" https://arj.af/index.php/arj/article/view/42 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
104.47.11.62 bot - "2024-04-22 16:19:43" https://arj.af/index.php/arj/article/view/45 200 ""
86.187.171.148 - - "2024-04-22 16:19:44" https://arj.af/index.php/arj/article/view/45 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0"
20.26.211.71 - - "2024-04-22 16:20:08" https://arj.af/index.php/arj/article/view/45 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
66.249.69.140 bot - "2024-04-22 16:21:11" https://arj.af/index.php/arj/article/download/7/5/19 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.139 bot - "2024-04-22 16:36:58" https://arj.af/index.php/arj/article/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.139 bot - "2024-04-22 17:04:18" https://arj.af/index.php/arj/article/download/45/25/94 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
91.92.243.105 - - "2024-04-22 17:28:02" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 7.0; SM-G892A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Mobile Safari/537.36"
66.249.77.198 bot - "2024-04-22 17:31:05" https://arj.af/index.php/arj/article/view/40 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
20.191.194.43 - - "2024-04-22 18:10:06" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/604.2.4 (KHTML, like Gecko) Version/9.1.2 Safari/604.2.4"
20.191.194.43 - - "2024-04-22 18:10:09" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:48.0) Gecko/20100101 Firefox/48.0"
20.191.194.43 - - "2024-04-22 18:10:11" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
20.191.194.43 - - "2024-04-22 18:10:13" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
66.249.77.198 bot - "2024-04-22 18:11:48" https://arj.af/index.php/arj/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
