23.26.220.10 - - "2024-02-09 13:47:15" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5 (.NET CLR 3.5.30729)"
64.124.8.63 bot - "2024-02-09 15:00:21" https://arj.af/index.php/arj/issue/view/4 200 "Mozilla/5.0 (compatible; ImagesiftBot; +imagesift.com)"
196.196.34.200 - - "2024-02-09 15:05:35" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux x86_64; rv:114.0) Gecko/20100101 Firefox/114.0"
66.249.75.66 bot - "2024-02-09 15:10:55" https://arj.af/index.php/arj/article/download/42/24/90 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
91.92.247.104 bot - "2024-02-09 15:39:41" https://arj.af/index.php/arj/index 200 ""
91.92.247.104 bot - "2024-02-09 15:39:42" https://arj.af/index.php/arj/index 200 ""
91.92.247.104 bot - "2024-02-09 15:39:42" https://arj.af/index.php/arj/index 200 ""
91.92.247.104 bot - "2024-02-09 15:39:43" https://arj.af/index.php/arj/index 200 ""
91.92.247.104 bot - "2024-02-09 15:39:44" https://arj.af/index.php/arj/index 200 ""
91.92.247.104 bot - "2024-02-09 15:39:44" https://arj.af/index.php/arj/index 200 ""
91.92.247.104 bot - "2024-02-09 15:39:45" https://arj.af/index.php/arj/index 200 ""
91.92.247.104 bot - "2024-02-09 15:39:46" https://arj.af/index.php/arj/index 200 ""
91.92.247.104 bot - "2024-02-09 15:39:46" https://arj.af/index.php/arj/index 200 ""
91.92.247.104 bot - "2024-02-09 15:39:47" https://arj.af/index.php/arj/index 200 ""
91.92.247.104 bot - "2024-02-09 15:39:48" https://arj.af/index.php/arj/index 200 ""
91.92.247.104 bot - "2024-02-09 15:39:48" https://arj.af/index.php/arj/index 200 ""
91.92.247.104 bot - "2024-02-09 15:39:49" https://arj.af/index.php/arj/index 200 ""
66.249.75.67 bot - "2024-02-09 16:30:22" https://arj.af/index.php/arj/article/download/7/5/19 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.6167.85 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.69.161 bot - "2024-02-09 17:14:20" https://arj.af/index.php/arj/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.66 bot - "2024-02-09 17:39:49" https://arj.af/index.php/arj/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.66 bot - "2024-02-09 17:42:29" https://arj.af/index.php/arj/article/view/55 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.161 bot - "2024-02-09 17:53:43" https://arj.af/index.php/arj/article/view/55 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
43.131.243.208 - - "2024-02-09 18:27:31" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
66.249.75.66 bot - "2024-02-09 19:52:42" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
91.192.199.26 - - "2024-02-09 20:07:52" https://arj.af/index.php/arj/article/view/45 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
