42.104.206.108 - - "2023-08-27 09:51:39" https://arj.af/index.php/arj/article/view/13 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36"
66.249.75.82 bot - "2023-08-27 09:57:10" https://arj.af/index.php/arj/article/download/58/27/142 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.81 bot - "2023-08-27 10:06:54" https://arj.af/index.php/arj/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.82 bot - "2023-08-27 10:10:28" https://arj.af/index.php/arj/article/download/40/23/83 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
167.248.133.123 - - "2023-08-27 10:17:07" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
76.72.173.2 - - "2023-08-27 10:37:05" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0"
114.111.32.90 - - "2023-08-27 11:57:22" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; Yeti/1.1; +https://naver.me/spd)"
198.235.24.33 bot - "2023-08-27 12:05:19" https://arj.af/index.php/arj/index 200 ""
31.171.154.124 bot - "2023-08-27 12:43:39" https://arj.af/index.php/arj/index 200 ""
162.142.125.224 - - "2023-08-27 13:09:49" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
52.26.83.28 bot - "2023-08-27 15:11:28" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
34.217.22.245 - - "2023-08-27 15:11:30" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.76 Safari/537.36"
35.88.21.75 - - "2023-08-27 15:11:31" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
52.167.144.225 bot - "2023-08-27 15:51:04" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
64.124.8.23 - - "2023-08-27 17:37:52" https://arj.af/index.php/arj/article/download/5/3/20 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36"
64.124.8.23 - - "2023-08-27 18:03:30" https://arj.af/index.php/arj/issue/view/3 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36"
198.235.24.135 bot - "2023-08-27 19:52:30" https://arj.af/index.php/arj/index 200 ""
64.124.8.23 - - "2023-08-27 22:46:07" https://arj.af/index.php/arj/article/download/38/22/79 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36"
